date,"1호선
설화명곡
(1_1_total_kwh)","1호선
월배기지
(1_2_total_kwh)","1호선
서부정류장
(1_3_total_kwh)","1호선
반월당
(1_4_total_kwh)","1호선
신천
(1_5_total_kwh)","1호선
방촌
(1_6_total_kwh)","1호선
안심
(1_7_total_kwh)","2호선
문양기지
(2_1_total_kwh)","2호선
대실
(2_2_total_kwh)","2호선
성서산단
(2_3_total_kwh)","2호선
죽전
(2_4_total_kwh)","2호선
반고개
(2_5_total_kwh)","2호선
대구은행
(2_6_total_kwh)","2호선
만촌
(2_7_total_kwh)","2호선
대공원
(2_8_total_kwh)","2호선
사월
(2_9_total_kwh)","2호선
영남대
(2_10_total_kwh)","3호선
칠곡기지
(3_1_total_kwh)","3호선
팔달시장
(3_2_total_kwh)","3호선
남산
(3_3_total_kwh)","3호선
범물기지
(3_4_total_kwh)","1호선
설화명곡
(1_1_peak_kw)","1호선
월배기지
(1_2_peak_kw)","1호선
서부정류장
(1_3_peak_kw)","1호선
반월당
(1_4_peak_kw)","1호선
신천
(1_5_peak_kw)","1호선
방촌
(1_6_peak_kw)","1호선
안심
(1_7_peak_kw)","2호선
문양기지
(2_1_peak_kw)","2호선
대실
(2_2_peak_kw)","2호선
성서산단
(2_3_peak_kw)","2호선
죽전
(2_4_peak_kw)","2호선
반고개
(2_5_peak_kw)","2호선
대구은행
(2_6_peak_kw)","2호선
만촌
(2_7_peak_kw)","2호선
대공원
(2_8_peak_kw)","2호선
사월
(2_9_peak_kw)","2호선
영남대
(2_10_peak_kw)","3호선
칠곡기지
(3_1_peak_kw)","3호선
팔달시장
(3_2_peak_kw)","3호선
남산
(3_3_peak_kw)","3호선
범물기지
(3_4_peak_kw)","휴일
(is_holiday)","승객수
(passengers)"
2023-02-05,18882,54986,41101,25827,30620,30339,57408,33284,9105,30709,26738,33640,19816,20455,30403,19040,19498,30833,22530,30493,21015,1250,3298,2573,1596,2062,2127,3295,1745,564,1896,1687,1961,1238,1306,1954,1292,1354,1518,1593,1863,1192,1,122628
2023-02-06,17093,63212,50821,140,55252,32792,56885,33983,9736,33176,29170,35802,23484,21548,30782,20686,21212,31530,24200,31350,20971,1150,4310,3310,403,4040,2239,3024,1838,582,2143,2134,2448,1676,1512,2165,1559,1459,1725,1765,2186,1359,0,170798
2023-02-07,19028,59484,49133,0,55356,33281,55592,31630,10070,34792,27293,34346,22330,22680,32234,18987,21451,30604,23694,29989,20789,1235,3917,3718,0,3836,2644,3410,1747,634,2328,1894,2261,1672,1673,2100,1486,1423,1708,1745,1979,1397,0,172629
2023-02-08,18552,60130,42473,26554,31317,33035,54692,31695,9694,32534,27350,35162,21591,21615,32270,19909,21038,30828,23538,30576,20395,1332,4003,3139,1753,2135,2469,3149,1706,614,2297,2014,2460,1981,1757,2196,1517,1512,1711,1791,1976,1400,0,175715
2023-02-09,17024,61540,40526,26909,32234,32775,55300,33227,9974,30794,27463,34683,21506,21017,31064,19209,21273,31069,23902,30267,21463,1127,3823,2995,2102,2221,2312,3051,1826,622,2174,1925,2520,1757,1726,2153,1402,1538,1731,1794,2192,1356,0,174117
2023-02-10,18646,56156,40075,25138,29638,29186,51627,31739,9171,31104,24790,33922,21337,20726,27625,19089,20147,30667,23799,32553,20296,1183,3634,2801,1958,2135,2294,3028,1752,616,2263,1666,2208,1436,1375,2062,1461,1382,1722,1829,2045,1411,0,182994
2023-02-11,15972,57375,39759,28457,33640,28916,58171,30557,9562,34106,23360,38769,22969,20405,28219,22053,20666,30969,20503,32802,17874,989,3115,2484,1839,2145,1980,3059,1507,601,2126,1490,2282,1432,1296,1685,1599,1330,1590,1411,1904,1132,1,170091
2023-02-12,20915,49574,42510,27434,32165,31626,52547,29501,11529,30188,23819,35267,22088,21897,28166,20484,18795,28184,22459,30365,20103,1319,2635,2566,1897,1953,2081,3051,1433,666,2119,1536,2244,1384,1390,1812,1298,1279,1503,1472,1835,1230,1,122935
2023-02-13,17764,55992,40248,24974,30911,30645,50424,26084,11146,31519,26163,32409,22110,20314,31073,17220,20107,29470,23931,30586,19770,1194,3552,2885,1799,2317,2404,3126,1613,724,2098,1726,2496,1609,1387,2095,1423,1375,1685,1682,1889,1316,0,170669
2023-02-14,17374,58573,39652,25230,29094,28544,55363,29115,10433,30805,23853,33041,21588,19558,30504,18389,19586,30291,22982,30200,20733,1068,3778,3178,1801,2143,2028,3316,1567,595,2042,1699,2208,1484,1663,2026,1352,1366,1679,1751,2094,1339,0,178882
2023-02-15,17641,59936,39747,25659,30877,30690,54415,31154,9207,31951,25031,33943,21177,20008,29261,17610,20499,30647,24271,32631,20454,1094,3710,2911,1740,1960,2216,2970,1682,536,2038,1723,2194,1467,1406,2086,1371,1318,1653,1803,2094,1351,0,177671
2023-02-16,17985,56818,40986,25540,30306,29986,53068,31090,9206,30623,24971,33640,21307,19702,30286,18512,20041,30328,23240,30881,20571,1256,3732,3108,1816,2300,2074,3124,1654,622,2086,1726,2191,1501,1502,1978,1315,1270,1630,1679,2062,1351,0,177435
2023-02-17,17094,61178,41656,26160,33111,31905,55344,31954,9668,32691,26632,34952,24119,21248,31854,20173,20391,31985,22680,30223,21548,1177,3794,3338,1818,2317,2200,3103,1776,586,2177,1872,2352,1634,1550,2045,1524,1426,1693,1820,2016,1345,0,189387
2023-02-18,18346,51134,39139,26831,32185,28795,52767,26623,10061,30853,26098,33987,22743,21796,31671,19089,20141,27594,22157,29113,19355,1158,2983,2606,1611,1981,2208,3039,1512,622,2134,1670,2208,1582,1608,2232,1644,1289,1411,1610,1817,1166,1,164364
2023-02-19,20179,41776,38986,24157,27387,25617,50956,24667,8800,29596,23350,31119,21821,19120,28105,18469,18498,26869,22206,28767,19215,1332,2489,2275,1701,1859,1999,2878,1462,584,1910,1404,1980,1415,1152,1589,1164,1159,1524,1515,1809,1117,1,125299
